Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression CV104_pHDB3_5	Expression CV104_pHDB3_10	Expression CV104_pHDB3_20	Expression CV104_pLCV1_5	Expression CV104_pLCV1_10	Expression CV104_pLCV1_20
3924478	3924478	3924035	3923889	-	mioC	b3742	FMN-binding protein MioC	299	295	301	306	306	284
	3925026	3924568		-	asnC	b3743	DNA-binding transcriptional dual regulator	31	26	32	34	33	34
3925178	3925178	3926170	3926170	+	asnA	b3744	asparagine synthetase A	212	232	850	186	230	558
	3927626	3926175		-	viaA	b3745	predicted von Willibrand factor containing protein	26	26	38	26	26	32
	3929116	3927620		-	ravA	b3746	fused predicted transcriptional regulator: sigma54 activator protein/conserved protein	27	31	31	29	30	25
	3929339	3931207		+	kup	b3747	potassium transporter	70	71	76	75	73	75
3931374	3931374	3931793	3931793	+	rbsD	b3748	predicted cytoplasmic sugar-binding protein	307	319	342	347	425	556
	3931801	3933306		+	rbsA	b3749	fused D-ribose transporter subunits of ABC superfamily: ATP-binding components	72	72	79	82	95	129
	3933311	3934276		+	rbsC	b3750	D-ribose transporter subunit	71	66	74	70	91	122
3934277	3934301	3935191	3935270	+	rbsB	b3751	D-ribose transporter subunit	203	196	228	196	250	347
	3935317	3936246		+	rbsK	b3752	ribokinase	116	101	110	110	119	169
	3936250	3937242		+	rbsR	b3753	DNA-binding transcriptional repressor of ribose metabolism	25	24	29	26	30	34
	3938635	3937208		-	hsrA	b3754	predicted multidrug or homocysteine efflux system	11	14	15	14	14	14
	3939350	3938658		-	yieP	b3755	predicted transcriptional regulator	95	102	101	103	97	98
3939831			3941372	+	rrsC	b3756	16S ribosomal RNA of rrnC operon	23338	34267	29776	81976	25441	31331
3941458			3941533	+	gltU	b3757	Glu tRNA	705	748	852	531	587	1079
3941727			3944630	+	rrlC	b3758	23S ribosomal RNA of rrnC operon	68760	97726	95608	225384	87635	104810
3944723			3944842	+	rrfC	b3759	5S ribosomal RNA of rrnC operon	3302	3418	3859	3213	2735	4446
3944895			3944971	+	aspT	b3760	Asp tRNA	1453	1433	1328	977	1121	1447
3944980			3945055	+	trpT	b3761	Trp tRNA	691	689	713	406	589	773
	3945990	3945151		-	hdfR	b4480	DNA-binding transcriptional regulator	32	38	30	35	35	28
3946097	3946109	3946447	3946447	+	yifE	b3764	"conserved protein, UPF0438 family"	2134	1790	2000	1895	1896	1863
	3947992	3946472		-	yifB	b3765	predicted bifunctional enzyme and transcriptional regulator	13	13	11	13	13	10
	3948345	3948443	3948443	+	ilvL	b3766	ilvG operon leader peptide	189	213	250	154	157	216
	3948530	3948580		+	ilvX	b4669	expressed protein	156	174	159	182	176	121
	3950224	3950487		+	ilvM	b3769	"acetolactate synthase II, small subunit"	20	29	23	21	25	28
	3950507	3951436		+	ilvE	b3770	branched-chain amino-acid aminotransferase	91	117	90	94	113	93
	3951501	3953351		+	ilvD	b3771	dihydroxyacid dehydratase	49	67	50	54	56	52
	3953354	3954898		+	ilvA	b3772	threonine deaminase	35	43	32	35	39	38
	3955843	3954950		-	ilvY	b3773	DNA-binding transcriptional dual regulator	26	26	22	22	17	22
	3955993	3957468		+	ilvC	b3774	"ketol-acid reductoisomerase, NAD(P)-binding"	68	66	75	68	62	91
3957836	3957836	3957555	3957555	-	ppiC	b3775	peptidyl-prolyl cis-trans isomerase C (rotamase C)	218	217	219	170	191	210
	3958700	3960721		+	rep	b3778	DNA helicase and single-stranded DNA-dependent ATPase	89	79	80	87	78	79
	3962252	3960768		-	gpp	b3779	guanosine pentaphosphatase/exopolyphosphatase	106	109	116	104	120	118
3963653	3963653	3962388	3962253	-	rhlB	b3780	ATP-dependent RNA helicase	346	338	354	336	325	342
3963730	3963784	3964113	3964113	+	trxA	b3781	thioredoxin 1	1624	1562	1580	1570	1583	1459
3964266	3964440	3965699	3965699	+	rho	b3783	transcription termination factor	952	963	1113	953	1017	1037
3965814	3965939	3967042	3967053	+	rfe	b3784	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase	279	283	312	275	298	289
3967054	3967054	3968100		+	wzzE	b3785	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein	213	220	213	190	207	204
3968156	3968156	3969286		+	rffE	b3786	UDP-N-acetyl glucosamine-2-epimerase	212	204	221	192	209	210
	3969283	3970545		+	rffD	b3787	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	191	196	194	177	184	193
	3970545	3971612		+	rffG	b3788	"dTDP-glucose 4,6-dehydratase"	150	156	151	146	149	153
	3971631	3972512		+	rffH	b3789	glucose-1-phosphate thymidylyltransferase	132	132	135	121	122	131
	3972490	3973164		+	rffC	b3790	TDP-fucosamine acetyltransferase	95	100	109	88	96	106
	3973169	3974299		+	rffA	b3791	TDP-4-oxo-6-deoxy-D-glucose transaminase	90	95	92	81	81	88
	3974301	3975551		+	wzxE	b3792	O-antigen translocase	68	75	78	71	73	69
	3975548	3976627		+	rffT	b4481	TDP-Fuc4NAc:lipidIIFuc4NAc transferase	70	65	69	53	68	63
	3976624	3977976		+	wzyE	b3793	predicted Wzy protein involved in ECA polysaccharide chain elongation	45	41	38	40	41	41
	3977979	3978719		+	rffM	b3794	UDP-N-acetyl-D-mannosaminuronic acid transferase	71	73	84	77	72	63
	3978910	3980295		+	yifK	b3795	predicted transporter	260	273	269	227	253	232
3980398			3980474	+	argX	b3796	Arg tRNA	1838	1756	1602	1364	1221	1697
3980532			3980608	+	hisR	b3797	His tRNA	3279	2920	3233	2391	2547	2961
3980629			3980715	+	leuT	b3798	Leu tRNA	3549	3280	3454	2352	2951	3240
3980758			3980834	+	proM	b3799	Pro tRNA	297	259	257	139	250	235
	3980981	3982216		+	aslB	b3800	predicted regulator of arylsulfatase activity	4	3	3	6	3	3
	3984030	3982375		-	aslA	b3801	acrylsulfatase-like enzyme	7	10	10	21	7	9
3984455			3984626	+	glmZ	b4456	-	1423	1901	1964	1727	1154	2212
	3985905	3984709		-	hemY	b3802	predicted protoheme IX synthesis protein	116	119	115	107	111	110
	3987089	3985908		-	hemX	b3803	predicted uroporphyrinogen III methyltransferase	127	147	134	132	133	126
	3987851	3987111		-	hemD	b3804	uroporphyrinogen III synthase	96	94	95	103	88	95
	3988789	3987848		-	hemC	b3805	hydroxymethylbilane synthase	132	134	112	114	122	121
	3989176	3991722	3991722	+	cyaA	b3806	adenylate cyclase	193	197	203	189	188	191
	3992082	3991762		-	cyaY	b3807	iron-dependent inhibitor of iron-sulfur cluster formation; frataxin; iron-binding and oxidizing protein	148	128	120	123	113	133
3992545	3992545	3992748	3992784	+	yifL	b4558	predicted lipoprotein	289	293	252	293	277	253
3992785	3992785	3993609		+	dapF	b3809	diaminopimelate epimerase	213	211	188	195	206	203
	3993606	3994313		+	yigA	b3810	"conserved protein, DUF484 family"	133	153	133	122	134	140
	3994310	3995206		+	xerC	b3811	site-specific tyrosine recombinase	117	130	124	121	115	119
	3995206	3995922		+	yigB	b3812	FMN phosphatase	78	87	79	80	67	84
	3996006	3998168		+	uvrD	b3813	DNA-dependent ATPase I and helicase II	69	69	62	66	61	66
	3999079	3998315		-	yigE	b4482	"predicted protein, DUF2233 family"	10	11	11	12	7	9
3999275	3999449	4000399	4000404	+	corA	b3816	magnesium/nickel/cobalt transporter	274	248	250	274	234	239
	4000822	4000442		-	yigF	b3817	predicted inner membrane protein	27	31	35	34	36	28
	4001216	4000836		-	yigG	b3818	conserved inner membrane protein	7	7	8	10	8	7
	4002201	4001311		-	rarD	b3819	predicted chloramphenical resistance permease	53	58	58	57	62	59
	4002720	4002253		-	yigI	b3820	"conserved protein, 4HBT family of thioesterases"	98	103	101	83	89	100
	4002885	4003754		+	pldA	b3821	outer membrane phospholipase A	155	146	151	171	144	145
	4003887	4005716		+	recQ	b3822	ATP-dependent DNA helicase	58	61	52	54	53	54
	4005780	4006400		+	rhtC	b3823	threonine efflux pump	35	37	31	30	30	32
	4007082	4006462		-	rhtB	b3824	"homoserine, homoserine lactone and S-methyl-methionine efflux pump"	11	13	14	18	15	12
	4007193	4008215		+	pldB	b3825	lysophospholipase L2	147	172	148	279	145	153
	4008223	4009023		+	yigL	b3826	predicted hydrolase	77	82	83	116	141	151
	4009099	4009998		+	yigM	b3827	predicted inner membrane protein	47	47	45	46	48	47
	4010839	4009886		-	metR	b3828	"DNA-binding transcriptional activator, homocysteine-binding"	28	19	16	23	17	15
	4011076	4013337		+	metE	b3829	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	38	44	27	53	43	30
	4014192	4013377		-	ysgA	b3830	predicted hydrolase	24	36	28	28	34	30
	4014454	4015215		+	udp	b3831	uridine phosphorylase	167	176	135	174	188	169
	4015356	4016783		+	rmuC	b3832	predicted recombination limiting protein	18	17	18	17	19	20
4016878	4016878	4017633	4017646	+	ubiE	b3833	"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase"	351	338	333	347	336	332
4017647	4017647	4018252		+	yigP	b3834	"conserved protein, SCP2 family"	209	189	193	208	184	198
	4018249	4019889		+	ubiB	b3835	2-octaprenylphenol hydroxylase	88	92	90	84	88	83
4019959	4019968	4020237	4020237	+	tatA	b3836	TatABCE protein translocation system subunit	671	601	677	690	669	645
4020238	4020241	4020756	4020758	+	tatB	b3838	TatABCE protein translocation system subunit	369	370	365	379	339	364
4020759	4020759	4021535	4021535	+	tatC	b3839	TatABCE protein translocation system subunit	245	266	258	228	260	244
	4021577	4022359		+	tatD	b4483	quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase	46	48	51	45	45	48
	4022844	4022356		-	rfaH	b3842	DNA-binding transcriptional antiterminator	92	88	106	97	95	98
4023011	4023011	4024504	4024504	+	ubiD	b3843	3-octaprenyl-4-hydroxybenzoate decarboxylase	222	225	213	201	207	224
4024505	4024550	4025251	4025252	+	fre	b3844	NAD(P)H-flavin reductase	282	277	284	285	274	295
	4026795	4025632		-	fadA	b3845	3-ketoacyl-CoA thiolase (thiolase I)	8	9	7	9	6	10
	4028994	4026805		-	fadB	b3846	fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	5	6	5	10	6	9
4029184	4029184	4030515		+	pepQ	b3847	proline dipeptidase	193	200	193	191	187	197
	4030515	4031129		+	yigZ	b3848	"conserved protein, UPF0029 family"	77	72	63	70	71	74
	4031168	4032619		+	trkH	b3849	potassium transporter	71	68	65	62	69	67
	4032631	4033176		+	hemG	b3850	"protoporphyrin oxidase, flavoprotein"	90	85	101	109	93	104
4033554			4035095	+	rrsA	b3851	16S ribosomal RNA of rrnA operon	22219	32473	28426	77408	24201	29874
4035164			4035240	+	ileT	b3852	Ile tRNA	732	850	956	581	499	936
4035283			4035358	+	alaT	b3853	Ala tRNA	669	599	721	512	553	677
4035542			4038446	+	rrlA	b3854	23S ribosomal RNA of rrnA operon	66922	96423	94160	224329	85562	102386
4038540			4038659	+	rrfA	b3855	5S ribosomal RNA of rrnA operon	2180	2532	3102	2005	1624	4178
	4039456	4038929		-	mobB	b3856	molybdopterin-guanine dinucleotide biosynthesis protein B	33	37	33	45	33	32
	4040022	4039438		-	mobA	b3857	molybdopterin-guanine dinucleotide synthase	37	37	42	46	42	30
4040092	4040092	4040361		+	yihD	b3858	DUF1040 protein YihD	192	200	177	158	228	171
	4040438	4041424		+	rdoA	b3859	Thr/Ser kinase implicated in Cpx stress response	117	108	116	122	102	113
4041441	4041441	4042067	4042067	+	dsbA	b3860	periplasmic protein disulfide isomerase I	545	498	541	501	530	479
	4042222	4043652		+	yihF	b3861	"conserved protein, DUF945 family"	6	7	9	13	7	5
	4044625	4043693		-	yihG	b3862	"inner membrane protein, Predicted acyltransferas"	34	35	44	43	45	40
4044989	4044989	4047775		+	polA	b3863	fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease	182	170	163	188	165	154
4047922			4048030	+	spf	b3864	-	45	57	77	46	76	65
	4048788	4048156		-	yihA	b3865	GTP-binding protein required for normal cell division	225	199	218	196	212	182
4049059			4049303	+	csrC	b4457	-	1237	1110	1313	1158	976	1181
4049370	4049370	4049879	4049879	+	yihI	b3866	activator of Der GTPase	454	391	397	458	393	367
	4050068	4051441		+	hemN	b3867	"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent"	116	112	117	115	109	103
4051780	4051780	4051670	4051643	-	yshB	b4686	expressed protein	504	492	480	412	418	526
	4053301	4051892		-	glnG	b3868	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein	22	25	22	28	23	24
	4054362	4053313		-	glnL	b3869	sensory histidine kinase in two-component regulatory system with GlnG	32	29	30	34	27	30
4056207	4056057	4054648	4054634	-	glnA	b3870	glutamine synthetase	186	170	212	184	201	246
4056333	4056430	4058253	4058253	+	typA	b3871	GTP-binding protein	1402	1419	1497	1299	1342	1341
	4058470	4059180		+	yihL	b3872	predicted DNA-binding transcriptional regulator	14	15	15	18	20	18
	4059188	4060168		+	yihM	b3873	predicted sugar phosphate isomerase	14	19	21	30	21	28
	4060270	4061535		+	yihN	b3874	"inner membrane protein, predicted transporter"	5	5	7	10	5	8
	4062318	4061626		-	ompL	b3875	outer membrane porin L	2	4	3	7	3	1
	4063789	4062386		-	yihO	b3876	predicted transporter	3	4	4	10	4	2
	4065217	4063832		-	yihP	b3877	predicted transporter	3	3	3	5	3	2
	4067299	4065263		-	yihQ	b3878	alpha-glucosidase	2	3	2	7	3	3
	4068424	4067498		-	yihR	b3879	predicted aldose-1-epimerase	2	3	2	4	2	2
	4069779	4068538		-	yihS	b3880	aldose-ketose isomerase; D-mannose isomerase	4	4	5	8	6	5
	4070674	4069796		-	yihT	b3881	predicted aldolase	2	3	3	8	2	3
	4071594	4070698		-	yihU	b3882	"gamma-hydroxybutyrate dehydrogenase, NADH-dependent"	2	3	2	8	3	3
	4071762	4072658		+	yihV	b3883	predicted sugar kinase	3	4	2	3	1	3
	4072692	4073477		+	yihW	b3884	predicted DNA-binding transcriptional regulator	66	70	63	64	74	61
	4073576	4074175		+	yihX	b3885	"alpha-D-Glucose-1-P phosphatase, anomer-specific"	83	94	83	97	104	83
	4074169	4075041		+	yihY	b3886	predicted inner membrane protein	44	48	48	50	54	47
	4075038	4075475		+	dtd	b3887	D-tyr-tRNA(Tyr) deacylase	121	146	115	120	138	110
	4075472	4076461		+	yiiD	b3888	predicted acetyltransferase	80	88	68	79	80	71
	4077320	4077532		+	yiiE	b3889	predicted transcriptional regulator	3	4	3	10	4	2
	4077774	4077992		+	yiiF	b3890	conserved protein	10	12	16	12	13	16
	4079251	4078322		-	fdhE	b3891	formate dehydrogenase formation protein	120	123	112	112	106	120
	4079883	4079248		-	fdoI	b3892	"formate dehydrogenase-O, cytochrome b556 subunit"	62	61	61	51	59	61
	4080782	4079880		-	fdoH	b3893	"formate dehydrogenase-O, Fe-S subunit"	47	49	46	45	50	54
	4083845	4080795		-	fdoG	b3894	"formate dehydrogenase-O, large subunit"	122	131	135	129	129	141
	4084039	4084872		+	fdhD	b3895	formate dehydrogenase formation protein	60	58	59	56	58	56
	4085025	4086080		+	yiiG	b3896	conserved lipoprotein	4	4	4	6	6	4
	4087878	4086130		-	frvR	b3897	putative frv operon regulator; contains a PTS EIIA domain	2	3	3	4	2	2
	4088948	4087878		-	frvX	b3898	predicted peptidase	4	5	4	8	4	4
	4090389	4088938		-	frvB	b3899	fused predicted PTS enzymes: IIB component/IIC component	1	2	1	3	1	1
	4090846	4090400		-	frvA	b3900	predicted enzyme IIA component of PTS	1	1	2	6	1	0
	4091461	4091147		-	rhaM	b3901	L-rhamnose mutarotase	3	3	2	8	2	2
	4092295	4091471		-	rhaD	b3902	rhamnulose-1-phosphate aldolase	2	3	2	7	2	1
	4094005	4092746		-	rhaA	b3903	L-rhamnose isomerase	1	2	2	5	1	2
	4095471	4094002		-	rhaB	b3904	rhamnulokinase	1	1	1	4	1	0
	4095759	4096595		+	rhaS	b3905	"DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding"	3	2	3	5	3	2
	4096669	4097517		+	rhaR	b3906	"DNA-binding transcriptional activator for rhaSR, L-rhamnose-binding"	3	3	2	7	6	4
	4098548	4097514		-	rhaT	b3907	L-rhamnose:proton symporter	3	3	3	6	4	2
4098823	4098833	4099453	4099469	+	sodA	b3908	"superoxide dismutase, Mn"	1439	1510	1494	1180	1497	1511
	4099713	4100696		+	kdgT	b3909	2-keto-3-deoxy-D-gluconate transporter	6	7	6	5	6	6
	4100845	4101519		+	yiiM	b3910	6-N-hydroxylaminopurine resistance protein	52	59	48	54	56	48
	4102998	4101625		-	cpxA	b3911	sensory histidine kinase in two-component regulatory system with CpxR	94	96	88	87	82	84
	4103693	4102995		-	cpxR	b3912	DNA-binding response regulator in two-component regulatory system with CpxA	180	193	175	167	183	172
	4103843	4104343		+	cpxP	b4484	inhibitor of the cpx response; periplasmic adaptor protein	74	85	83	82	70	74
	4104492	4105394		+	fieF	b3915	ferrous iron and zinc transporter	97	91	86	92	102	90
4105491	4105575	4106537	4106576	+	pfkA	b3916	6-phosphofructokinase I	415	404	366	425	398	355
	4106857	4107846		+	sbp	b3917	sulfate transporter subunit	5	5	5	7	6	5
	4107953	4108708		+	cdh	b3918	CDP-diacylglycerol phosphotidylhydrolase	54	49	50	61	54	49
4109530	4109530	4108763	4108763	-	tpiA	b3919	triosephosphate isomerase	848	739	682	823	739	649
	4110237	4109638		-	yiiQ	b3920	conserved protein	35	35	41	40	42	36
	4110338	4110778		+	yiiR	b3921	"predicted inner membrane protein, DUF805 family"	34	35	30	35	33	37
	4110990	4111289		+	yiiS	b3922	"conserved protein, UPF0381 family"	68	70	72	86	90	65
	4111316	4111744		+	uspD	b3923	stress-induced protein	111	105	96	112	126	89
	4112495	4111749		-	fpr	b3924	ferredoxin-NADP reductase	75	71	67	76	70	55
	4113602	4112592		-	glpX	b3925	"fructose 1,6-bisphosphatase II"	59	62	61	57	52	60
	4115245	4113737		-	glpK	b3926	glycerol kinase	30	28	23	31	28	27
	4116113	4115268		-	glpF	b3927	glycerol facilitator	11	9	9	14	12	9
4116492	4116538	4116783	4116828	+	zapB	b3928	"septal ring assembly factor, stimulates cell division"	1188	1126	1111	1191	1361	1035
4117362	4117353	4116868	4116868	-	rraA	b3929	ribonuclease E (RNase E) inhibitor protein	317	302	300	269	292	298
	4118372	4117446		-	menA	b3930	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	98	92	98	85	85	96
4119779	4119770	4118439	4118439	-	hslU	b3931	molecular chaperone and ATPase component of HslUV protease	693	624	476	747	648	515
4120313	4120310	4119780	4119780	-	hslV	b3932	peptidase component of the HslUV protease	629	523	389	619	510	413
	4121362	4120403		-	ftsN	b3933	essential cell division protein	146	154	136	134	139	148
	4122479	4121454		-	cytR	b3934	DNA-binding transcriptional dual regulator	57	53	60	58	61	79
	4124833	4122635		-	priA	b3935	Primosome factor n' (replication factor Y)	26	27	25	29	23	25
4124951	4125036	4125248	4125254	+	rpmE	b3936	50S ribosomal subunit protein L31	5501	5472	6264	4263	4569	5942
	4125917	4125309		-	yiiX	b3937	"conserved protein, DUF830 family"	34	30	38	44	31	26
4126470	4126418	4126101	4126101	-	metJ	b3938	"DNA-binding transcriptional repressor, S-adenosylmethionine-binding"	484	415	474	519	429	449
	4126695	4127855		+	metB	b3939	"cystathionine gamma-synthase, PLP-dependent"	67	61	49	60	56	54
	4127858	4130290		+	metL	b3940	fused aspartokinase II/homoserine dehydrogenase II	68	63	54	60	57	58
	4130639	4131529		+	metF	b3941	"5,10-methylenetetrahydrofolate reductase"	24	16	17	28	16	11
4131858	4131858	4134038	4134038	+	katG	b3942	"catalase-peroxidase HPI, heme b-containing"	214	199	141	198	184	140
	4134131	4135036		+	yijE	b3943	"inner membrane protein, predicted permease"	11	10	12	14	12	8
	4135680	4135063		-	yijF	b3944	conserved protein	2	4	3	12	4	2
	4137058	4135955		-	gldA	b3945	"glycerol dehydrogenase, NAD"	27	14	7	22	16	10
	4137731	4137069		-	fsaB	b3946	fructose-6-phosphate aldolase 2	7	8	4	18	3	6
	4140244	4137743		-	ptsA	b3947	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	2	2	1	2	2	2
	4140553	4141632		+	frwC	b3949	predicted enzyme IIC component of PTS	1	1	1	5	1	1
	4141647	4141967		+	frwB	b3950	predicted enzyme IIB component of PTS	3	3	3	6	4	1
	4142018	4144315		+	pflD	b3951	predicted formate acetyltransferase 2 (pyruvate formate lyase II)	5	7	7	13	7	6
	4144281	4145159		+	pflC	b3952	pyruvate formate lyase II activase	3	4	2	7	4	2
	4145161	4145502		+	frwD	b3953	predicted enzyme IIB component of PTS	4	6	6	7	2	2
	4146340	4145489		-	yijO	b3954	predicted DNA-binding transcriptional regulator	13	12	11	15	13	11
	4148288	4146555		-	yijP	b3955	conserved inner membrane protein	165	174	194	168	184	196
	4151121	4148470	4148470	-	ppc	b3956	phosphoenolpyruvate carboxylase	210	231	177	214	210	181
	4152870	4151719		-	argE	b3957	acetylornithine deacetylase	39	43	30	51	49	31
	4153024	4154028		+	argC	b3958	"N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding"	15	21	15	26	18	13
	4154036	4154812		+	argB	b3959	acetylglutamate kinase	19	22	14	23	20	17
	4154873	4156246		+	argH	b3960	argininosuccinate lyase	31	35	22	31	31	31
4156417			4156308	-	oxyS	b4458	-	2	5	7	6	1	1
	4156513	4157430		+	oxyR	b3961	DNA-binding transcriptional dual regulator	138	130	113	128	118	113
	4158813	4157413		-	sthA	b3962	"pyridine nucleotide transhydrogenase, soluble"	145	135	152	135	148	180
	4159147	4159794		+	fabR	b3963	DNA-binding transcriptional repressor	179	159	166	170	160	171
	4159794	4160153	4160192	+	yijD	b3964	"inner membrane protein, DUF1422 family"	214	223	224	203	223	243
4161293	4161293	4160193		-	trmA	b3965	"tRNA m(5)U54 methyltransferase, SAM-dependen"	194	199	199	206	185	199
	4161662	4163506		+	btuB	b3966	vitamin B12/cobalamin outer membrane transporter	180	183	195	177	182	179
	4163451	4164308		+	murI	b3967	glutamate racemase	125	122	131	116	127	126
4164682			4166223	+	rrsB	b3968	16S ribosomal RNA of rrnB operon	21963	32093	28141	76396	23860	29457
4166395			4166470	+	gltT	b3969	Glu tRNA	1282	1356	1561	998	1026	1452
4166664			4169567	+	rrlB	b3970	23S ribosomal RNA of rrnB operon	63309	91240	88971	212201	81292	96553
4169660			4169779	+	rrfB	b3971	5S ribosomal RNA of rrnB operon	1499	1721	2185	1500	1221	2702
	4170080	4171108		+	murB	b3972	"UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding"	176	168	192	181	181	168
	4171105	4172070		+	birA	b3973	"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding"	105	97	95	96	98	96
	4173049	4172099		-	coaA	b3974	pantothenate kinase	128	127	133	142	144	128
4173411			4173486	+	thrU	b3976	Thr tRNA	2976	2945	2797	2594	2857	2946
4173495			4173579	+	tyrU	b3977	Tyr tRNA	6435	6339	5915	5350	6144	6059
4173696			4173770	+	glyT	b3978	Gly tRNA	4561	4523	4380	4284	4766	4672
4173777			4173852	+	thrT	b3979	Thr tRNA	5833	5666	6143	5876	6076	5920
4173853	4173967	4175151	4175189	+	tufB	b3980	protein chain elongation factor EF-Tu (duplicate of tufA)	13387	12785	12507	12696	12528	12659
4175288	4175381	4175764	4175764	+	secE	b3981	preprotein translocase membrane subunit	1431	1368	1341	1196	1348	1385
4175765	4175766	4176311	4176331	+	nusG	b3982	transcription termination factor	1690	1619	1750	1557	1658	1677
4176393	4176470	4176898	4176898	+	rplK	b3983	50S ribosomal subunit protein L11	11764	10468	11069	11427	10213	10655
4176899	4176902	4177606	4177836	+	rplA	b3984	50S ribosomal subunit protein L1	13494	12218	12938	13034	12251	12554
4177837			4177873	?	-	predicted RNA	-	16259	13833	16599	15574	15667	15208
4177874	4178019	4178516	4178516	+	rplJ	b3985	50S ribosomal subunit protein L10	18518	16808	17846	18777	17374	17523
4178522	4178583	4178948	4178948	+	rplL	b3986	50S ribosomal subunit protein L7/L12	23131	20487	22748	22140	22292	21776
4179109	4179268	4183296	4183296	+	rpoB	b3987	"RNA polymerase, beta subunit"	1998	2054	2371	1989	2038	2209
4183297	4183373	4187596	4187601	+	rpoC	b3988	"RNA polymerase, beta prime subunit"	2201	2103	2398	2140	2077	2290
	4187809	4188348		+	yjaZ	b3989	stationary phase growth adaptation protein	27	25	33	31	34	31
4188510			4188350	-	sroH	b4691	-	36	50	55	25	30	84
	4189891	4188758		-	thiH	b3990	"tyrosine lyase, involved in thiamin-thiazole moiety synthesis"	5	7	4	7	5	3
	4190658	4189888		-	thiG	b3991	thiamin biosynthesis ThiGH complex subunit	3	6	3	6	2	3
	4190860	4190660		-	thiS	b4407	immediate sulfur donor in thiazole formation	3	5	5	7	3	4
	4191599	4190844		-	thiF	b3992	"adenylyltransferase, modifies ThiS C-terminus"	3	4	4	8	3	3
	4192227	4191592		-	thiE	b3993	thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)	3	5	3	5	5	5
	4194122	4192227		-	thiC	b3994	thiamin (pyrimidine moiety) biosynthesis protein	7	6	7	9	6	6
	4194831	4194355		-	rsd	b3995	"stationary phase protein, binds sigma 70 RNA polymerase subunit"	127	128	104	142	132	106
	4194926	4195699		+	nudC	b3996	NADH pyrophosphatase	69	75	72	62	67	71
	4195739	4196803		+	hemE	b3997	uroporphyrinogen decarboxylase	123	131	112	117	112	119
	4196813	4197484		+	nfi	b3998	endonuclease V	73	77	63	69	68	77
4197527	4197527	4198117		+	yjaG	b3999	conserved protein	218	202	230	211	206	214
4198219	4198304	4198576	4198588	+	hupA	b4000	"HU, DNA-binding transcriptional regulator, alpha subunit"	3364	3122	3109	3774	3433	2834
	4198589	4199284		+	yjaH	b4001	conserved protein	62	63	55	74	64	56
	4199711	4199286		-	zraP	b4002	Zn-binding periplasmic protein	5	6	4	8	4	3
	4199949	4201346		+	zraS	b4003	sensory histidine kinase in two-component regulatory system with ZraR	7	7	8	10	8	7
	4201343	4202668		+	zraR	b4004	fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator/sigma54 interaction protein	21	22	20	20	20	21
	4203954	4202665		-	purD	b4005	phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase	95	95	91	86	74	99
	4205555	4203966		-	purH	b4006	fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase	106	105	106	98	87	116
4206170			4207711	+	rrsE	b4007	16S ribosomal RNA of rrnE operon	21842	31971	27984	76380	23756	29356
4207797			4207872	+	gltV	b4008	Glu tRNA	681	737	847	532	623	1082
4208066			4210969	+	rrlE	b4009	23S ribosomal RNA of rrnE operon	63240	91068	88939	211941	81150	96505
4211063			4211182	+	rrfE	b4010	5S ribosomal RNA of rrnE operon	1544	1792	2164	1422	1202	2679
	4211257	4211640		+	yjaA	b4011	conserved stress-induced protein	33	28	26	30	25	28
	4212146	4211703		-	yjaB	b4012	predicted acetyltransferase	17	23	22	32	22	17
	4212303	4213232		+	metA	b4013	homoserine O-transsuccinylase	39	21	20	42	25	20
	4213501	4215102		+	aceB	b4014	malate synthase A	97	122	117	112	125	114
	4215132	4216436		+	aceA	b4015	isocitrate lyase	77	100	88	81	92	102
	4216619	4218355		+	aceK	b4016	isocitrate dehydrogenase kinase/phosphatase	12	17	16	17	15	16
	4220510	4218324		-	arpA	b4017	ankyrin repeat protein	3	5	5	11	5	4
